id_kalimat,teks_inggris,teks_jawa,teks_sunda,panjang_kata_inggris
1,Federal judge dismisses DOJ lawsuit against Maine&apos;s Secretary of State Shenna Bellows over the state&apos;s refusal to turn over voter data to the government.,Hakim federal nolak tuntutan hukum DOJ marang Sekretaris Negara Maine Shenna Bellows amarga negara kasebut ora gelem ngirim data pemilih menyang pamrentah.,Hakim féderal nolak gugatan DOJ ngalawan Sekretaris Nagara Maine Shenna Bellows kusabab panolakan nagara pikeun nyerahkeun data pamilih ka pamaréntah.,24
2,Warhammer 40K Gladius Relics of War is free to keep on Steam for a limited time as a promotion for the Warhammer Skulls 2026 event.,Warhammer 40K Gladius Relics of War gratis kanggo tetep ing Steam sajrone wektu winates minangka promosi kanggo acara Warhammer Skulls 2026.,Warhammer 40K Gladius Relics of War bébas tetep dina Steam pikeun waktos kawates salaku promosi pikeun acara Warhammer Skulls 2026.,25
3,NASA announced an agencywide realignment that includes combining related mission directorates to sharpen the agency’s focus on human spaceflight.,NASA ngumumake realignment agensi sing kalebu nggabungake direktur misi sing gegandhengan kanggo ngasah fokus agensi ing spaceflight manungsa.,NASA ngumumkeun hiji realignment agénsi nu ngawengku ngagabungkeun diréktur misi patali pikeun ngasah fokus agénsi on spaceflight manusa.,19
4,"In this guide, you learn where to find the red brick in chapter one's ""Red Hood Gang"" mission and how to unlock the ""Toxic Waste"" modifier.","Ing pandhuan iki, sampeyan sinau ing ngendi nemokake bata abang ing misi ""Red Hood Gang"" bab siji lan carane mbukak kunci modifier ""Sampah Beracun"".","Dina pituduh ieu, anjeun diajar dimana mendakan bata beureum dina misi ""Red Hood Gang"" bab hiji sareng cara muka konci modifier ""Runtah Beracun"".",26
5,"Expert advice from the actress Jodie Turner-Smith, the brow artist Kristie Streicher and the model Cierra O’Day.","Saran ahli saka aktris Jodie Turner-Smith, artis alis Kristie Streicher lan model Cierra O'Day.","Saran ahli ti aktris Jodie Turner-Smith, artis alis Kristie Streicher jeung modél Cierra O'Day.",17
6,"Gabbard resigns as Trump’s top U.S. intelligence official, Fox News Digital reports","Gabbard mundur minangka pejabat intelijen AS paling dhuwur Trump, laporan Fox News Digital","Gabbard mundur salaku pejabat intelijen luhur AS Trump, laporan Fox News Digital",12
7,"Putin accuses Ukraine of deadly attack on student dorm, orders military to prepare options","Putin nuduh Ukraina nyerang asrama mahasiswa, mrentah militer kanggo nyiapake opsi","Putin tuduh Ukraina tina serangan deadly on asrama mahasiswa, pesenan militér nyiapkeun pilihan",14
8,"From John Travolta’s beret to Barbara Palvin’s elegant pregnancy style, the red carpets from the festival in France had many memorable moments.","Saka beret John Travolta kanggo gaya meteng elegan Barbara Palvin, karpet abang saka festival ing Prancis wis akeh momen paweling.","Ti beret John Travolta ka gaya kakandungan elegan Barbara Palvin urang, karpét beureum tina festival di Perancis miboga loba moments memorable.",22
9,"A number of Green councillors are ineligible to take up elected positions, leading to by-elections.","Sawetara anggota dewan Ijo ora layak kanggo njupuk posisi sing dipilih, nyebabake pemilihan.","Sajumlah déwan Héjo henteu layak pikeun nyandak jabatan anu kapilih, ngarah kana pamilihan umum.",15
10,The depths of Subnautica 2 are mysterious and scary. Use our guides to find blueprints and resources to wade through the waters.,Jero saka Subnautica 2 misterius lan medeni. Gunakake pandhuan kita kanggo nemokake cetak biru lan sumber daya kanggo nyabrang banyu.,Jero Subnautica 2 misterius sareng pikasieuneun. Anggo pituduh kami pikeun milari cetak biru sareng sumber daya pikeun ngalangkungan cai.,22
11,"CEO says Stellantis may produce Chinese-branded cars in Mexico, Canada","CEO ngandika Stellantis bisa gawé mobil Cina-merek ing Meksiko, Kanada","CEO nyebutkeun Stellantis bisa ngahasilkeun mobil Cina-branded di Mexico, Kanada",10
12,Stocks get a lift from tech hardware; yields up as Warsh sworn in,Saham entuk angkat saka hardware tech; ngasilake munggah minangka Warsh sumpah ing,Saham meunang angkat ti hardware tech; ngahasilkeun up sakumaha Warsh disumpah,13
13,"There's a report going around that Tom Hardy has been fired from his hit show ""MobLand"" after clashes with producers ... but TMZ has learned that's not exactly the case. According to a source with direct knowledge ... while there is a good chance&hellip;","Ana laporan babagan yen Tom Hardy wis dipecat saka acara hit ""MobLand"" sawise bentrok karo produser ... Miturut sumber karo kawruh langsung ... nalika ana apik kasempatan & hellip;","Aya laporan ngeunaan yén Tom Hardy parantos dipecat tina acara hit na ""MobLand"" saatos bentrok sareng produser ... Numutkeun sumber kalawan pangaweruh langsung ... bari aya kasempetan alus & hellip;",44
14,What’s next for Super Micro Computer after mixed FQ3 results?,Apa sabanjure kanggo Super Micro Computer sawise asil FQ3 campuran?,Naon salajengna pikeun Super Micro Computer sanggeus hasil FQ3 dicampur?,10
15,Outward direct investments by Indian companies rose to $33.3 billion from $28.2 billion in FY25.,Investasi langsung metu dening perusahaan India mundhak dadi $33.3 milyar saka $28.2 milyar ing FY25.,Investasi langsung kaluar ku pausahaan India naek ka $33.3 milyar tina $28.2 milyar dina FY25.,15
16,"In December, YouTube star announced his son had been diagnosed with Stage 3 cancer","Ing Desember, bintang YouTube ngumumake putrane wis didiagnosis kanker Tahap 3","Dina bulan Désémber, béntang YouTube ngumumkeun putrana parantos didiagnosis kanker Tahap 3",14
17,"According to RBI data, total outward remittances under LRS fell by 2% year-on-year to $28.9 billion in FY26, down from $29.6 billion in FY25","Miturut data RBI, total remitansi metu ing LRS mudhun 2% saben taun dadi $28.9 milyar ing FY26, mudhun saka $29.6 milyar ing FY25.","Numutkeun data RBI, total remittances kaluar handapeun LRS turun ku 2% sataun-on-taun ka $28.9 milyar dina FY26, turun tina $29.6 milyar dina FY25.",24
18,Angst over rising cost of living pushes US consumer sentiment to record low,Angst amarga mundhake biaya urip nyurung sentimen konsumen AS dadi sithik,Angst kana naékna biaya hirup ngadorong sentimen konsumen AS pikeun ngarékam rendah,13
19,"Oil pipeline ruptured in East Los Angeles, Fire Dept says flow stopped","Pipa minyak pecah ing Los Angeles Timur, Fire Dept ujar manawa aliran mandheg","Pipa minyak ruptured di Wétan Los Angeles, Fire Dept nyebutkeun aliran dieureunkeun",12
20,"As Stephen Colbert exits ’The Late Show,’ podcasts have the last laugh","Nalika Stephen Colbert metu saka 'The Late Show,' podcast duwe ngguyu pungkasan","Nalika Stephen Colbert kaluar tina 'The Late Show,' podcast gaduh seuri terakhir",12
